,name,business_status,geometry/location/lat,geometry/location/lng,vicinity,place_id
71,Spielmannszug Sulzbach,OPERATIONAL,49.3000068,7.0658458,"Im Hessenland 2, Sulzbach/Saar",ChIJC8HrpJG3lUcRPVKs-pEQuZw
72,Feuerwehr Völklingen Löschbezirk Lauterbach,OPERATIONAL,49.1831554,6.745009899999999,"Köhlerstraße 8, Völklingen",ChIJw4Z9ujirlUcRE0yS8INpfu4
73,Feuerwehr Völklingen Löschbezirk Fürstenhausen,OPERATIONAL,49.2412123,6.864198,"Gutenbergstraße 12, Völklingen",ChIJXXwfguGtlUcRsj3hGUAZmLI
74,"Freiwillige Feuerwehr Beckingen, Löschbezirk Düppenweiler",OPERATIONAL,49.4151099,6.7633272,Beckingen,ChIJuy2sRtKglUcRxRXMnz6nwyI
75,"Feuerwehr, Löschbezirk Beckingen",OPERATIONAL,49.3865896,6.7074649,"In den Rübenstückern 6, Beckingen",ChIJOev20toJlUcRChHkJ8RyQ74
76,"Freiwillige Feuerwehr Beckingen, Löschbezirk Beckingen",OPERATIONAL,49.3922415,6.701667,"Bergstraße 4, Beckingen",ChIJF4u5f8MJlUcRzRwzPAYhWuM
77,"Freiwillige Feuerwehr Beckingen, Löschbezirk Haustadt",OPERATIONAL,49.4122454,6.7203269,"Haustadter-Tal-Straße 143, Beckingen",ChIJLzqTf38JlUcRCFui7bcXsYo
78,"Freiwillige Feuerwehr Beckingen, Löschbezirk Oppen",OPERATIONAL,49.4532283,6.781508499999999,"St.-Florian-Straße 16, Beckingen",ChIJNeM3YVSglUcRoj96kHb3BMs
79,"Freiwillige Feuerwehr Beckingen, Löschbezirk Honzrath",OPERATIONAL,49.42918,6.7296743,"Merchinger Str. 7, Beckingen",ChIJu3CrW6ALlUcRuH2iceFA4VQ
80,"Freiwillige Feuerwehr Beckingen, Löschbezirk Reimsbach",OPERATIONAL,49.4496546,6.7636837,"Auf Köpfchen 2, Beckingen",ChIJD-4f_VeglUcRnrXHwKJgn40
81,"Freiwillige Feuerwehr Beckingen, Löschbezirk Saarfels",OPERATIONAL,49.393688,6.67516,"Fliederstraße 29, Beckingen",ChIJ6e7o7goJlUcRLneNIU3y_XI
82,"Freiwillige Feuerwehr Beckingen, Löschbezirk Erbringen",OPERATIONAL,49.4412931,6.7395399,"Im Dompen 6, Beckingen",ChIJMeSLfpuglUcRwAB_LgwUlas
83,"Freiwillige Feuerwehr Beckingen, Löschbezirk Hargarten",OPERATIONAL,49.4529799,6.736469,"Am Hügel 15, Beckingen",ChIJbxiUNVuhlUcRQcR6AuvLwjY
84,Feuerwehr Bergen,OPERATIONAL,49.5359346,6.6941361,"66679, Losheim am See",ChIJUf1my_l0lUcR3s4v8uvP9JY
85,Freiwillige Feuerwehr Wahlen,OPERATIONAL,49.48813939999999,6.778418299999999,"Wahlener Str. 57, Losheim am See",ChIJU3jkKAChlUcR2kkqZnbOiyA
86,Freiwillige Feuerwehr Rimlingen,OPERATIONAL,49.4740569,6.7171391,"Rimlinger Str. 34, Losheim am See",ChIJA9fRpfkLlUcRgRhOeY6eC6E
87,Freiwillige Feuerwehr Niederlosheim,OPERATIONAL,49.50205,6.77718,"Marienstraße 13, Losheim am See",ChIJm4anEo6flUcRBGQ5FmIVyGw
88,Gemeinde Weiskirchen Löschbezirk Weierweiler,OPERATIONAL,49.52795769999999,6.8180025,"Zum Ehrenmal 2, Weiskirchen",ChIJuy5kwhyflUcRedGDUS2W_Mc
89,Freiwillige Feuerwehr Losheim,OPERATIONAL,49.5053405,6.743678,"Merziger Str. 3, Losheim am See",ChIJcUS07lh1lUcRqHoPoa8zjn4
